序号,刊物简称,刊物全称,出版社,网址,学科,文章类别,CCF级别
74,ICA3PP,International Conference on Algorithms and Architectures for Parallel Processing,IEEE,http://dblp.uni-trier.de/db/conf/ica3pp/,计算机体系结构/并行与分布计算/存储系统,会议,C
75,CASES,"International Conference on Comppilers, Architectures, and Synthesis for Embedded Systems",ACM,http://dblp.uni-trier.de/db/conf/cases/index.html,计算机体系结构/并行与分布计算/存储系统,会议,C
76,FPT,International Conference on Field-Programmable Technology,IEEE,http://dblp.uni-trier.de/db/conf/fpt/,计算机体系结构/并行与分布计算/存储系统,会议,C
77,HPC,International Conference on High Performance Computing,IEEE/ACM,http://dblp.uni-trier.de/db/conf/hipc/index.html,计算机体系结构/并行与分布计算/存储系统,会议,C
78,ICPADS,International Conference on Parallel and Distributed Systems,IEEE,http://dblp.uni-trier.de/db/conf/icpads/,计算机体系结构/并行与分布计算/存储系统,会议,C
79,ISCAS,International Symposium on Circuits and Systems,IEEE,http://dblp.uni-trier.de/db/conf/iscas/,计算机体系结构/并行与分布计算/存储系统,会议,C
80,ISLPED,International Symposium on Low Power Electronics and Design,ACM/IEEE,http://dblp.uni-trier.de/db/conf/islped/,计算机体系结构/并行与分布计算/存储系统,会议,C
81,ISPD,International Symposium on Physical Design,ACM,http://dblp.uni-trier.de/db/conf/ispd/,计算机体系结构/并行与分布计算/存储系统,会议,C
82,Hot Interconnects,Symposium on High-Performance Interconnects,IEEE,http://dblp.uni-trier.de/db/conf/hoti/,计算机体系结构/并行与分布计算/存储系统,会议,C
83,VTS,VLSI Test Symposium,IEEE,http://dblp.uni-trier.de/db/conf/vts/,计算机体系结构/并行与分布计算/存储系统,会议,C
84,ISPA,Sym on Parallel and Distributed Processing with Applications ,,http://dblp.uni-trier.de/db/conf/ispa/,计算机体系结构/并行与分布计算/存储系统,会议,C
85,SYSTOR,ACM SiGOPS International Systems and Storage Conference,ACM,http://dblp.uni-trier.de/db/conf/systor/index.html,计算机体系结构/并行与分布计算/存储系统,会议,C
86,ATS,IEEE Asian Test Symposium,IEEE,http://dblp.uni-trier.de/db/conf/ats/,计算机体系结构/并行与分布计算/存储系统,会议,C
87,TON,IEEE/ACM Transactions on Networking,"IEEE,ACM",http://dblp.uni-trier.de/db/journals/ton/ ,计算机网络,期刊,A
88,JSAC,IEEE Journal on Selected Areas in Communications,IEEE,http://dblp.uni-trier.de/db/journals/jsac/ ,计算机网络,期刊,A
89,TMC,IEEE TRANSACTIONS ON MOBILE COMPUTING,IEEE,http://dblp.uni-trier.de/db/journals/tmc/ ,计算机网络,期刊,A
90,TOIT,ACM Transactions on Internet Technology,ACM,http://dblp.uni-trier.de/db/journals/toit/ ,计算机网络,期刊,B
91,TOMCCAP,"ACM Transactions on Multimedia Computing, Communications and Applications",ACM,http://dblp.uni-trier.de/db/journals/tomccap/ ,计算机网络,期刊,B
92,TOSN,ACM Transactions on Sensor Networks ,ACM,http://dblp.uni-trier.de/db/journals/tosn/ ,计算机网络,期刊,B
93,CN,Computer Networks,Elsevier ,http://dblp.uni-trier.de/db/journals/cn/ ,计算机网络,期刊,B
94,TOC,IEEE Transactions on Communications ,IEEE,http://dblp.uni-trier.de/db/journals/tcom/ ,计算机网络,期刊,B
95,TWC,IEEE Transactions on Wireless Communications,IEEE,http://dblp.uni-trier.de/db/journals/twc/ ,计算机网络,期刊,B
96,,Ad hoc Networks,Elsevier ,http://dblp.uni-trier.de/db/journals/adhoc/ ,计算机网络,期刊,C
97,CC,Computer Communications,Elsevier ,http://dblp.uni-trier.de/db/journals/comcom/ ,计算机网络,期刊,C
98,TNSM,IEEE Transactions on Network and Service Management,IEEE,http://dblp.uni-trier.de/db/journals/tnsm/ ,计算机网络,期刊,C
